OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
233,Designated,Gravel,0, ,Gravel Trail,Pennypack Lorimer Connector,PPR?,Trail,N,0.18718004,394.454005077759
234,Designated,Gravel,0,No Bicycles,Dirt Trail,Heinz Wildlife Refuge Trail,Heinz Wildlife Refuge,Trail,N,1.66708261,3501.16921838793
235,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.10631943,223.84693904148
236,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.14906254,312.883616165526
237,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.01383875,29.0749141388703
238,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.01730915,36.3759834305857
239,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.05537215,116.58508272695
240,Designated,Asphalt,10, ,Asphalt Trail,Cobb's Creek Trail,PPR,Trail,Y,1.47810424,3106.03014393608
241,Designated,Asphalt,10, ,Asphalt Trail,Cobb's Creek Trail,PPR,Trail,Y,0.22702873,477.014728887625
242,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.08026249,168.892890384071
243,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.33780367,709.351734075175
244,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,1.83884412,3864.53299296503
245,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.03599317,75.6996639670281
246,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.00021228,0.446462709358024
247,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.31061718,653.277829505853
248,Designated,Asphalt,10, ,Asphalt Trail,Kelly Drive Trail,PPR,Trail,Y,0.31381617,659.972079608324
