log2FoldChange,pvalue,gene_id,symbol
0.262264406,0.059054525,ENSG00000007047,MARK4
0.183438896,0.198839499,ENSG00000007080,CCDC124
0.163138727,0.158819878,ENSG00000007168,PAFAH1B1
-0.154119326,0.155852454,ENSG00000007202,KIAA0100
0.874307426,0.111964551,ENSG00000007255,TRAPPC6A
0.182884152,0.489836551,ENSG00000007341,ST7L
-0.679744591,0.240260121,ENSG00000007372,PAX6
0.210544457,0.088204496,ENSG00000007376,RPUSD1
-0.172597037,0.231921099,ENSG00000007384,RHBDF1
0.417794837,0.01273837,ENSG00000007392,LUC7L
0.196084742,0.116050986,ENSG00000007520,TSR3
-0.372902574,0.026881205,ENSG00000007541,PIGQ
0.198263831,0.30717945,ENSG00000007545,CRAMP1
0.016001147,0.879171467,ENSG00000007866,TEAD3
0.070215389,0.609993301,ENSG00000007923,DNAJC11
-0.377413888,0.055769903,ENSG00000007968,E2F2
-0.217031262,0.11301478,ENSG00000008018,PSMB1
0.511355696,0.012695414,ENSG00000008083,JARID2
0.253053157,0.116723256,ENSG00000008086,CDKL5
-0.643816425,0.171781664,ENSG00000008128,CDK11A
-0.127825863,0.283528567,ENSG00000008130,NADK
-0.097990443,0.43906655,ENSG00000008256,CYTH3
0.051111164,0.745471896,ENSG00000008282,SYPL1
0.449178061,0.011292817,ENSG00000008283,CYB561
-0.163519207,0.147293118,ENSG00000008294,SPAG9
-0.413730891,0.262353618,ENSG00000008300,CELSR3
-0.310908687,0.102557452,ENSG00000008311,AASS
-0.459150992,0.141582548,ENSG00000008324,SS18L2
-0.142075239,0.675677671,ENSG00000008382,MPND
-0.028255769,0.811209883,ENSG00000008394,MGST1
0.525339574,0.002152146,ENSG00000008405,CRY1
0.122830083,0.395728991,ENSG00000008441,NFIX
0.410216783,0.002651638,ENSG00000008513,ST3GAL1
0.636919431,0.032033718,ENSG00000008517,IL32
0.41279675,0.00090139,ENSG00000008710,PKD1
-0.17715279,0.199828741,ENSG00000008838,MED24
-0.147528286,0.30415716,ENSG00000008853,RHOBTB2
-0.089357788,0.510056434,ENSG00000008869,HEATR5B
-0.324872298,0.035646817,ENSG00000008952,SEC62
0.047210212,0.667189078,ENSG00000008988,RPS20
0.057613396,0.558919833,ENSG00000009307,CSDE1
-0.195777779,0.064905657,ENSG00000009335,UBE3C
-1.291010872,1.70E-09,ENSG00000009413,REV3L
0.045438377,0.83322803,ENSG00000009780,FAM76A
-0.207751226,0.144471452,ENSG00000009830,POMT2
-0.19469058,0.148881133,ENSG00000009844,VTA1
0.405362745,0.001845759,ENSG00000009954,BAZ1B
0.400700275,0.001281897,ENSG00000010017,RANBP9
-0.053818916,0.756550937,ENSG00000010072,SPRTN
-0.246869895,0.102734351,ENSG00000010165,EEF1AKNMT
0.357701531,0.044087389,ENSG00000010219,DYRK4
-0.061843999,0.573328415,ENSG00000010244,ZNF207
0.235338677,0.053090518,ENSG00000010256,UQCRC1
0.240228902,0.056972322,ENSG00000010270,STARD3NL
-0.0526673,0.687392268,ENSG00000010278,CD9
-0.443397731,0.000129346,ENSG00000010292,NCAPD2
-0.036718404,0.806159407,ENSG00000010295,IFFO1
-0.052871078,0.929484711,ENSG00000010310,GIPR
-0.705193459,0.038746314,ENSG00000010318,PHF7
-0.203455271,0.129988791,ENSG00000010322,NISCH
-0.072303082,0.803609775,ENSG00000010361,FUZ
0.003571345,0.981208835,ENSG00000010404,IDS
-0.029051773,0.920584403,ENSG00000010438,PRSS3
0.270064975,0.323423087,ENSG00000010539,ZNF200
