,SampleName,dex,albut,Run,Experiment,Sample,BioSample
SRR1039508,GSM1275862,untrt,untrt,SRR1039508,SRX384345,SRS508568,SAMN02422669
SRR1039509,GSM1275863,trt,untrt,SRR1039509,SRX384346,SRS508567,SAMN02422675
