UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	0
0	1
0	0
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	0
1	0
0	5
0	1
0	7
18	4
0	0
0	0
0	0
1	4
0	0
0	0
0	1
0	2
0	0
2	0
0	1
0	2
4	8
0	4
0	0
0	1
0	0
0	0
0	0
0	1
0	10
0	0
0	6
0	0
0	1
0	0
0	1
0	0
0	0
0	5
0	0
1	2
0	0
0	0
0	0
1	0
0	0
0	11
0	10
2	0
0	9
0	5
1	9
1	11
1	1
0	5
0	10
0	0
0	0
0	1
0	0
0	6
0	7
0	0
0	0
17	2
0	0
0	0
0	0
0	0
0	0
6	0
2	0
0	0
3	7
0	0
0	1
0	2
0	0
0	0
0	0
0	2
0	0
0	2
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
17	5
0	3
0	0
0	0
0	6
5	13
0	0
1	0
0	0
4	2
3	0
0	0
5	3
0	2
0	0
0	0
1	0
0	0
0	0
8	0
0	2
0	1
1	2
0	2
3	2
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	1
0	1
0	1
0	12
0	1
0	2
0	4
0	11
0	2
0	8
0	8
0	6
0	0
0	0
0	8
0	8
0	9
0	9
0	0
0	9
0	9
0	2
0	8
0	8
0	4
0	19
0	11
0	19
0	15
0	7
0	12
0	11
0	1
0	1
0	8
0	8
0	8
0	8
0	13
0	7
0	1
0	1
0	1
0	1
0	1
4	183
2	0
0	5
0	1
0	8
0	8
0	8
0	8
0	13
0	7
1	702
0	2
0	0
0	0
0	0
0	0
0	0
1	1
0	2
0	2
0	1
0	4
0	3
0	3
18	5
0	1
0	3
0	4
4	647
0	701
0	630
0	700
1	0
0	0
0	0
1	1
18	0
0	0
0	3
0	0
0	1
0	1
5	2977
0	1
0	30
0	22
0	65
0	272
0	1
0	13
0	4
0	3
2	469
0	12
0	0
0	0
0	0
0	0
2	1717
0	5
2	171
0	20
0	20
0	1
1	5
0	0
0	3
0	2
0	0
0	21
0	13
0	22
0	22
0	0
0	0
0	0
1	0
0	17
0	15
0	1
0	0
0	2
0	1
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	0
0	2
0	0
0	0
0	3
0	3
0	1
0	3
0	2
0	0
0	0
0	1
0	2
