UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
1	0
0	4
0	2
0	2
0	0
0	0
0	2
0	3
0	0
0	0
0	2
0	2
0	0
0	2
0	0
0	2
12	1
0	0
0	0
1	0
0	2
0	0
0	0
0	5
0	2
0	0
0	0
0	0
0	0
3	2
0	2
0	0
0	1
0	3
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	7
0	0
0	0
1	0
0	2
1	2
4	0
0	2
0	0
1	3
0	1
0	1
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	0
8	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
1	2
0	0
0	4
0	2
0	0
0	2
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
2	2
0	1
0	0
0	0
0	2
6	7
1	0
0	0
0	0
12	1
1	0
0	0
1	0
1	0
0	0
0	0
1	1
0	0
0	0
14	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
3	21
0	0
0	0
0	4
0	17
0	5
0	9
0	9
0	4
0	3
0	0
0	9
0	9
0	11
0	11
0	3
0	11
0	11
0	0
0	8
0	8
0	3
0	16
0	0
0	16
0	5
0	5
4	21
0	17
0	0
0	5
0	11
0	11
0	11
0	11
0	16
0	6
0	0
0	0
0	0
0	0
0	0
0	131
1	0
0	2
0	5
0	11
0	11
0	11
0	11
0	16
0	6
0	566
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	3
0	2
0	1
5	1
0	0
0	3
0	4
0	435
0	474
0	275
0	474
0	0
0	0
0	0
0	0
3	0
0	1
0	1
0	0
0	0
0	0
1	2215
0	0
0	11
0	9
0	26
0	144
0	1
0	5
0	2
0	1
0	323
0	4
0	0
0	0
0	0
0	0
0	941
0	1
0	86
0	20
0	20
0	0
2	2
0	1
0	1
0	0
0	0
0	16
0	0
0	19
0	19
0	3
0	0
0	0
0	0
0	5
0	3
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	0
0	2
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
