UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	2
0	3
0	3
0	2
0	0
0	2
0	3
0	0
0	1
1	0
0	3
0	5
1	0
0	5
0	0
0	9
38	9
0	3
0	1
0	1
0	4
1	0
0	0
0	3
0	4
0	0
1	0
0	0
1	2
9	11
0	3
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	0
1	3
0	1
0	6
0	0
0	0
0	4
0	2
0	12
0	3
0	2
0	1
0	1
0	0
0	0
0	0
1	8
1	12
2	0
1	10
0	6
1	7
0	7
0	3
0	5
0	2
0	1
0	0
0	1
0	0
0	3
0	9
0	0
0	0
6	1
0	0
0	1
0	1
0	0
0	5
1	0
0	0
1	0
2	7
0	3
0	3
0	3
0	1
0	3
0	0
0	0
0	2
0	3
0	1
0	2
0	0
0	4
0	1
0	0
2	0
0	2
0	0
0	1
15	9
0	0
0	0
0	0
0	10
3	7
0	0
1	1
0	1
3	1
0	0
1	0
2	0
3	1
1	0
0	0
3	0
0	1
0	0
51	44
1	0
0	3
0	0
2	1
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	3
0	3
0	3
0	1
0	4
0	3
0	3
0	1
0	3
0	3
0	1
1	23
1	0
0	1
1	7
0	19
0	4
0	14
0	15
0	11
0	1
0	2
0	15
0	12
0	15
0	15
0	1
0	12
0	15
0	2
0	10
0	9
0	1
0	39
0	12
0	39
0	22
0	9
0	23
0	17
0	4
0	4
0	15
0	15
0	12
0	15
0	25
0	11
0	4
0	1
0	4
0	4
0	1
1	245
1	1
0	5
0	4
0	15
0	15
0	12
0	15
0	25
0	11
2	574
0	0
0	2
0	2
0	1
0	2
0	2
0	2
0	6
0	7
0	5
0	75
0	75
0	3
31	7
0	0
0	75
0	75
0	793
0	866
0	521
0	865
3	2
0	1
0	0
0	0
18	2
0	0
0	5
0	2
0	2
0	2
2	3758
0	6
0	41
0	37
3	46
0	289
1	5
0	6
0	2
0	1
10	517
0	6
1	0
3	0
0	4
0	1
0	1899
1	1
0	214
1	22
0	21
0	2
1	3
0	0
0	1
0	2
0	0
0	39
0	13
0	41
0	41
0	1
0	1
1	1
1	3
0	13
0	7
0	0
0	5
0	6
0	1
2	0
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
1	1
1	0
0	2
0	0
0	3
0	2
0	1
0	4
0	2
0	0
0	0
0	1
0	0
